farmid,planted_qty,withered_crops,harvested_qty,crop_yield,net_yield,type,tags
1,7,12,15,2.1,3,1,"  bad net yield,   naturalpestmanagement,   pestcontrol, needs improvement"
2,20,6,17,0.8,11,1,"  companionplanting,   croprotation,   good net yield,   precisionfarming, terrible crop yield"
3,29,18,16,0.6,-2,1,"  bad net yield,   greenhousegrowing,   sustainableagriculture, terrible crop yield"
4,15,1,9,0.6,8,1,"  bad net yield,   irrigation,   pollinatorfriendly,   soilmanagement, terrible crop yield"
5,11,9,15,1.4,6,1,"  bad net yield,   companionplanting,   croprotation,   naturalpestmanagement, terrible crop yield"
6,8,12,24,3.0,12,1,"  croprotation,   good net yield,   naturalpestmanagement,   pestcontrol, needs improvement"
7,29,5,29,1.0,24,1,"  companionplanting,   croprotation,   excellent net yield, terrible crop yield"
8,21,11,23,1.1,12,0,"  bad net yield,   naturalpestmanagement,   pestcontrol, commendable crop yield"
9,7,11,24,3.4,13,0,"  croprotation,   excellent net yield,   naturalpestmanagement,   pestcontrol, commendable crop yield"
10,26,19,22,0.8,3,1,"  bad net yield,   greenhousegrowing,   sustainableagriculture, terrible crop yield"
11,19,10,3,0.2,-7,0,"  bad net yield,   covercrops,   sustainableagriculture, needs crop improvement"
12,23,6,12,0.5,6,0,"  bad net yield,   greenhousegrowing,   precisionfarming, needs crop improvement"
13,11,0,8,0.7,8,0," bad net yield,  raisedbeds,  waterconservation, needs crop improvement"
14,11,0,22,2.0,22,0,"  excellent net yield,   farmersmarket,   foodsecurity,   localfood, commendable crop yield"
15,24,19,22,0.9,3,1,"  bad net yield,   greenhousegrowing,   sustainableagriculture, terrible crop yield"
16,21,12,3,0.1,-9,0,"  bad net yield,   croprotation,   naturalpestmanagement,   pestcontrol, needs crop improvement"
17,4,0,27,6.4,27,1," excellent net yield,  farmtofork,  foodsecurity, average crop yield"
18,8,2,3,0.4,1,0,"  bad net yield,   irrigation,   pollinatorfriendly, needs crop improvement"
19,24,6,5,0.2,-1,0,"  bad net yield,   companionplanting,   greenhousegrowing, needs crop improvement"
20,3,5,15,5.0,10,0,"  covercrops,   croprotation,   excellent net yield,   sustainableagriculture, commendable crop yield"
21,22,7,29,1.3,22,1,"  excellent net yield,   greenhousegrowing,   naturalpestmanagement, terrible crop yield"
22,21,8,3,0.1,-5,0,"  bad net yield,   sustainableagriculture, needs crop improvement"
23,2,4,10,5.0,6,1,"  bad net yield,   fertilization,   pollinatorfriendly,   vermiculture, average crop yield"
24,24,0,5,0.2,5,0," bad net yield,  covercrops,  croprotation,  precisionfarming, needs crop improvement"
25,12,18,16,1.3,-2,1,"  bad net yield,   greenhousegrowing,   sustainableagriculture, terrible crop yield"
26,6,9,23,3.8,14,0,"  croprotation,   excellent net yield,   greenhousegrowing,   naturalpestmanagement, commendable crop yield"
27,2,11,2,1.0,-9,1,"  bad net yield,   croprotation,   naturalpestmanagement,   pestcontrol, terrible crop yield"
28,28,14,26,0.9,12,1,"  companionplanting,   good net yield,   regenerativeagriculture, terrible crop yield"
29,21,8,27,1.3,19,0,"  bad net yield,   pestcontrol,   precisionfarming, commendable crop yield"
30,1,0,10,6.6,10,1," farmtofork,  good net yield, average crop yield"
31,12,16,15,1.2,-1,0,"  bad net yield,   companionplanting,   regenerativeagriculture, commendable crop yield"
32,26,16,15,0.6,-1,0,"  bad net yield,   companionplanting,   regenerativeagriculture, needs crop improvement"
33,22,19,26,1.2,7,0,"  bad net yield,   greenhousegrowing,   sustainableagriculture, commendable crop yield"
34,29,11,10,0.3,-1,0,"  bad net yield,   croprotation,   naturalpestmanagement,   pestcontrol, needs crop improvement"
35,12,6,28,2.3,22,0,"  covercrops,   excellent net yield,   greenhousegrowing,   naturalpestmanagement, commendable crop yield"
36,25,1,13,0.5,12,0,"  bad net yield,   fertilization,   vermiculture, needs crop improvement"
37,17,2,19,1.1,17,0,"  good net yield,   irrigation,   vermiculture, commendable crop yield"
38,27,16,7,0.3,-9,0,"  bad net yield,   companionplanting,   regenerativeagriculture, needs crop improvement"
39,27,4,17,0.6,13,0,"  bad net yield,   irrigation,   soilmanagement,   vermiculture, needs crop improvement"
40,10,16,20,2.0,4,0,"  bad net yield,   companionplanting,   regenerativeagriculture, commendable crop yield"
41,28,16,29,1.0,13,0,"  bad net yield,   companionplanting,   regenerativeagriculture, average crop yield"
42,28,16,2,0.1,-14,1,"  bad net yield,   companionplanting,   regenerativeagriculture, terrible crop yield"
43,16,1,28,1.8,27,1,"  excellent net yield,   fertilization,   irrigation,   vermiculture, terrible crop yield"
44,15,1,23,1.5,22,0,"  excellent net yield,   fertilization,   organicfarming,   pollinatorfriendly, commendable crop yield"
45,15,4,7,0.5,3,0,"  bad net yield,   fertilization,   pollinatorfriendly,   vermiculture, needs crop improvement"
46,19,0,13,0.7,13,0," bad net yield,  mulching,  sustainablepractices, needs crop improvement"
47,12,0,15,1.2,15,0,"  excellent net yield,   farmersmarket,   farmtofork, commendable crop yield"
48,23,18,11,0.5,-7,0,"  bad net yield,   greenhousegrowing,   sustainableagriculture, needs crop improvement"
49,20,1,29,1.4,28,0,"  excellent net yield,   fertilization,   soilmanagement, commendable crop yield"
50,25,11,4,0.2,-7,0,"  bad net yield,   croprotation,   naturalpestmanagement,   pestcontrol, needs crop improvement"
